,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Coolum Beach,AU,100,97,-26.53,153.1,63.0,1.99
1,Jamestown,US,1,45,42.1,-79.24,88.0,2.21
2,Busselton,AU,87,68,-33.65,115.33,46.99,7.83
3,Lexington,US,40,69,37.99,-84.48,82.99,13.87
4,Paraty,BR,20,73,-23.22,-44.71,71.6,3.36
5,New Norfolk,AU,100,84,-42.78,147.06,46.0,1.01
6,Atuona,PF,9,78,-9.8,-139.03,80.83,20.22
7,Puerto Ayora,EC,75,57,-0.74,-90.35,80.6,18.34
8,Eilat,IL,0,27,29.56,34.95,91.4,11.41
9,Barrow,US,90,80,71.29,-156.79,30.2,8.05
10,Loei,TH,100,100,17.42,101.5,65.48,3.42
11,Ushuaia,AR,75,69,-54.8,-68.3,39.2,4.7
12,Bonavista,CA,95,87,48.65,-53.11,42.01,6.46
13,Verāval,IN,23,79,20.9,70.37,85.21,7.92
14,Seoul,KR,68,83,37.57,126.98,69.8,1.12
15,Saldanha,ZA,8,87,-33.01,17.94,59.0,18.34
16,Punta Arenas,CL,75,93,-53.15,-70.92,35.6,2.24
17,Hilo,US,90,88,19.73,-155.09,79.0,4.7
18,Provideniya,RU,0,75,64.38,-173.3,41.0,13.42
19,Bluff,NZ,88,89,-46.6,168.33,51.01,11.01
20,Khatanga,RU,26,43,71.97,102.5,50.27,12.41
21,Vaini,TO,75,88,-21.2,-175.2,75.2,8.05
22,Saint George,US,1,10,37.1,-113.58,80.6,5.82
23,Tasiilaq,GL,100,86,65.61,-37.64,39.2,10.29
24,George Town,MY,20,83,5.41,100.34,82.4,3.36
25,Namatanai,PG,0,76,-3.67,152.43,82.09,3.49
26,Butaritari,KI,33,77,3.07,172.79,82.6,14.9
27,Ribeira Grande,PT,100,72,38.52,-28.7,64.74,1.81
28,Knysna,ZA,14,93,-34.04,23.05,53.6,2.24
29,Tuktoyaktuk,CA,75,70,69.45,-133.04,44.6,5.82
30,Ust'-Uda,RU,100,93,54.17,103.03,49.17,4.79
31,Rikitea,PF,100,83,-23.12,-134.97,76.21,9.26
32,Miraflores,MX,75,26,19.22,-98.81,82.4,12.75
33,Lavrentiya,RU,100,84,65.58,-171.0,36.59,5.82
34,Bredasdorp,ZA,0,87,-34.53,20.04,48.2,4.43
35,Nanning,CN,40,88,22.82,108.32,80.6,4.47
36,Maragogi,BR,0,85,-9.01,-35.22,76.28,5.88
37,Kapaa,US,90,69,22.08,-159.32,82.99,10.29
38,Bethel,US,1,40,41.37,-73.41,89.01,8.05
39,Ketchikan,US,90,58,55.34,-131.65,59.0,23.04
40,Xining,CN,63,61,36.62,101.77,50.31,2.13
41,Korla,CN,100,95,41.76,86.15,75.0,4.0
42,Mataura,NZ,20,89,-46.19,168.86,51.01,11.01
43,Caravelas,BR,0,91,-17.71,-39.25,72.16,4.52
44,Kavaratti,IN,93,80,10.57,72.64,84.06,14.32
45,Nanortalik,GL,100,67,60.14,-45.24,47.86,17.67
46,Alofi,NU,100,70,-19.06,-169.92,79.0,8.28
47,Grindavik,IS,75,81,63.84,-22.43,48.2,8.05
48,Cascais,PT,70,78,38.7,-9.42,62.01,20.49
49,Alta Floresta,BR,0,74,-9.88,-56.09,76.19,3.71
50,Banda Aceh,ID,100,73,5.56,95.32,80.2,9.1
51,Dakar,SN,40,78,14.69,-17.44,82.4,10.96
52,Kahului,US,20,52,20.89,-156.47,87.8,24.16
53,Lao Cai,VN,99,76,22.48,103.95,78.87,0.6
54,Necochea,AR,0,62,-38.55,-58.74,48.0,5.01
55,Kavieng,PG,100,73,-2.57,150.8,84.34,6.98
56,Port Alfred,ZA,20,31,-33.59,26.89,78.01,10.0
57,Cape Town,ZA,75,87,-33.93,18.42,59.0,16.11
