,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Coolum Beach,100,AU,1591740018,97,-26.53,153.1,63.0,1.99
1,Jamestown,1,US,1591740272,45,42.1,-79.24,88.0,2.21
2,Busselton,87,AU,1591740273,68,-33.65,115.33,46.99,7.83
3,Lexington,40,US,1591740274,69,37.99,-84.48,82.99,13.87
4,Paraty,20,BR,1591740032,73,-23.22,-44.71,71.6,3.36
5,New Norfolk,100,AU,1591740276,84,-42.78,147.06,46.0,1.01
6,Atuona,9,PF,1591740277,78,-9.8,-139.03,80.83,20.22
7,Puerto Ayora,75,EC,1591740278,57,-0.74,-90.35,80.6,18.34
8,Eilat,0,IL,1591740279,27,29.56,34.95,91.4,11.41
9,Barrow,90,US,1591740280,80,71.29,-156.79,30.2,8.05
10,Loei,100,TH,1591740282,100,17.42,101.5,65.48,3.42
11,Ushuaia,75,AR,1591740251,69,-54.8,-68.3,39.2,4.7
12,Bonavista,95,CA,1591740284,87,48.65,-53.11,42.01,6.46
13,Verāval,23,IN,1591740285,79,20.9,70.37,85.21,7.92
14,Seoul,68,KR,1591740188,83,37.57,126.98,69.8,1.12
15,Saldanha,8,ZA,1591740261,87,-33.01,17.94,59.0,18.34
16,Punta Arenas,75,CL,1591740288,93,-53.15,-70.92,35.6,2.24
17,Hilo,90,US,1591740009,88,19.73,-155.09,79.0,4.7
18,Provideniya,0,RU,1591740290,75,64.38,-173.3,41.0,13.42
19,Bluff,88,NZ,1591740292,89,-46.6,168.33,51.01,11.01
20,Khatanga,26,RU,1591740293,43,71.97,102.5,50.27,12.41
21,Vaini,75,TO,1591740294,88,-21.2,-175.2,75.2,8.05
22,Saint George,1,US,1591740295,10,37.1,-113.58,80.6,5.82
23,Tasiilaq,100,GL,1591740296,86,65.61,-37.64,39.2,10.29
24,George Town,20,MY,1591740003,83,5.41,100.34,82.4,3.36
25,Namatanai,0,PG,1591740298,76,-3.67,152.43,82.09,3.49
26,Butaritari,33,KI,1591740299,77,3.07,172.79,82.6,14.9
27,Ribeira Grande,100,PT,1591740300,72,38.52,-28.7,64.74,1.81
28,Knysna,14,ZA,1591740302,93,-34.04,23.05,53.6,2.24
29,Tuktoyaktuk,75,CA,1591740303,70,69.45,-133.04,44.6,5.82
30,Ust'-Uda,100,RU,1591740304,93,54.17,103.03,49.17,4.79
31,Rikitea,100,PF,1591740305,83,-23.12,-134.97,76.21,9.26
32,Miraflores,75,MX,1591740073,26,19.22,-98.81,82.4,12.75
33,Lavrentiya,100,RU,1591740264,84,65.58,-171.0,36.59,5.82
34,Bredasdorp,0,ZA,1591740255,87,-34.53,20.04,48.2,4.43
35,Nanning,40,CN,1591740040,88,22.82,108.32,80.6,4.47
36,Maragogi,0,BR,1591740310,85,-9.01,-35.22,76.28,5.88
37,Kapaa,90,US,1591740252,69,22.08,-159.32,82.99,10.29
